signal_date,entry_date,exit_date,entry_price,exit_price,tp_price,sl_price,units,pnl,reason,proba
2023-10-10,2023-10-11,2023-10-17,19776.8835,19801.594250000002,20125.255430803572,19602.697534598214,62,1532.0665000001245,TIME,0.6359468619579325
2023-10-11,2023-10-12,2023-10-13,19832.610568359374,19675.764823350582,20165.967990234374,19665.931857421874,65,-10194.973425571461,SL,0.5246808886265495
2023-10-25,2023-10-26,2023-10-26,19036.763625,18883.668374558034,19361.82835714286,18874.231258928572,66,-10104.28652916973,SL,0.525223804943306
2023-10-26,2023-10-27,2023-11-02,18938.214375,19123.683375,19283.772131696427,18765.435496651786,61,11313.609000000059,TIME,0.7072968053578996
2023-11-06,2023-11-07,2023-11-13,19413.752806640623,19433.829005859378,19797.95342047991,19221.65249972098,56,1124.267156250251,TIME,0.6829884758778362
2023-11-15,2023-11-16,2023-11-22,19684.536568359374,19801.943684570313,20004.080095145087,19524.764804966515,67,7866.276786132941,TIME,0.6470580388289273
2023-12-27,2023-12-28,2024-01-03,21725.8575,21527.776304656803,22143.53690848214,21517.017795758926,51,-10102.140962502937,SL,0.5690636321639105
2024-01-12,2024-01-15,2024-01-17,22064.176965820312,21893.768490966166,22426.876742606026,21882.827077427453,59,-10054.100016394634,SL,0.7485227358896976
2024-01-15,2024-01-16,2024-01-17,22091.54025,21915.9072083923,22464.711287946426,21904.954731026784,56,-9835.450330031192,SL,0.6775529304895679
2024-01-29,2024-01-30,2024-01-30,21786.637875,21514.043259646205,22353.330397321428,21503.291613839287,37,-10086.000768090424,SL,0.5409563032639784
2024-01-31,2024-02-01,2024-02-07,21791.540715820312,21919.534750000003,22375.554945731026,21499.533600864954,35,4479.791196289152,TIME,0.5458641962996466
2024-02-23,2024-02-26,2024-02-28,22180.283818359374,21966.92250491141,22628.962389787946,21955.944532645088,46,-9814.620418606333,SL,0.5003797574671232
2024-03-01,2024-03-04,2024-03-11,22414.70175,22321.48406542969,22859.0376875,22192.53378125,46,-4288.013490234291,TIME,0.5809782391986094
2024-03-04,2024-03-05,2024-03-12,22382.435625,22324.531369140626,22809.442879464284,22168.931997767857,48,-2779.404281249852,TIME,0.531478306638275
2024-03-28,2024-04-01,2024-04-05,22466.227499999997,22502.442369140626,22968.348593749997,22215.166953124997,40,1448.5947656251665,TIME,0.6246304051108804
